model,first,second,kind,delta,low,high,wins,ties,losses
DeepSeek,G0,S0,entity,0.6517730589704819,0.6058594112730987,0.6947093929714055,38,0,0
DeepSeek,G0,S0,relation,0.5753976060109706,0.5307488608996085,0.6166956790027337,38,0,0
DeepSeek,Gstar,G0,entity,0.00955435109906655,-0.021464228736113866,0.04550682686271024,21,2,15
DeepSeek,Gstar,G0,relation,0.007383169295218872,-0.03008356988939509,0.04804864887395843,22,1,15
DeepSeek,Gstar,human,entity,0.04900074138542376,0.02072941492554703,0.07893891628653904,26,0,12
DeepSeek,Gstar,human,relation,0.05162079405130393,0.0032544243851733157,0.1012571570823998,27,0,11
DeepSeek,Gstar,author,entity,-0.010280420431201254,-0.03419759977488657,0.013987608293324016,15,0,23
DeepSeek,Gstar,author,relation,-0.03411807741790607,-0.07876802183480025,0.011847027446586167,15,1,22
DeepSeek,joint,Gstar,entity,0.019770920345632992,0.0003991508330948301,0.042087321358332264,17,4,17
DeepSeek,joint,Gstar,relation,0.033905684605094244,0.009526111913824242,0.0589060706701634,23,4,11
DeepSeek,human_joint,human,entity,0.02434762218953168,-0.0034324437550243836,0.052710843373493965,23,1,14
DeepSeek,human_joint,human,relation,0.01336658254640688,-0.02180441310876091,0.049856587381408746,19,3,16
DeepSeek,author_full_joint,author_full,entity,0.0043667575729889885,-0.01812001837823174,0.028808409526943968,15,12,11
DeepSeek,author_full_joint,author_full,relation,0.02827149673775442,-0.003934798527223449,0.06092555585716042,24,2,12
DeepSeek,Gstar,minimal_R,entity,0.0,0.0,0.0,0,38,0
DeepSeek,Gstar,minimal_R,relation,0.04141022021311236,-0.0009428366512240771,0.08479531810428331,27,1,10
DeepSeek,author_routed_joint,author,entity,-0.01128313813244286,-0.022577097344449126,-0.0004198641502647371,10,8,20
DeepSeek,author_routed_joint,author,relation,-0.018681192898411858,-0.05253811285135712,0.01364858595642282,14,3,21
Terra,G0,S0,entity,0.6376489878287193,0.5969984613538373,0.6769004715973064,38,0,0
Terra,G0,S0,relation,0.5332881748444059,0.48869902797497766,0.5766942409389828,38,0,0
Terra,Gstar,G0,entity,0.04169272155835779,0.024680267572280923,0.05947919540234059,27,1,10
Terra,Gstar,G0,relation,0.04116859319375754,0.014530997956412328,0.06903113019208451,28,0,10
Terra,Gstar,human,entity,0.048561511367275045,0.020713062546968808,0.0767357577314074,30,0,8
Terra,Gstar,human,relation,0.0038832600323410738,-0.03484594886713399,0.04405989237743413,22,0,16
Terra,Gstar,author,entity,0.04955740394231456,0.023479860520029594,0.0766909061539981,31,0,7
Terra,Gstar,author,relation,0.004813089877243937,-0.03906849511572441,0.05101256849327773,23,0,15
Terra,joint,Gstar,entity,0.002256323027629459,-0.011537962189998696,0.01627067953978134,12,9,17
Terra,joint,Gstar,relation,0.019959339344386873,-0.002397503622319941,0.042189978704881614,19,5,14
Terra,human_joint,human,entity,-0.021571084337349333,-0.041545480985966665,-0.0015845370577753926,10,1,27
Terra,human_joint,human,relation,-0.026586081230568714,-0.05595515898914061,0.002009689535939052,13,0,25
Terra,author_full_joint,author_full,entity,-0.006119229494371936,-0.021169482641204107,0.009829576690489339,20,4,14
Terra,author_full_joint,author_full,relation,-0.008969861102562482,-0.032997418953385815,0.01653425930108543,15,2,21
Terra,Gstar,minimal_R,entity,0.0,0.0,0.0,0,38,0
Terra,Gstar,minimal_R,relation,-0.005575897143722197,-0.031960128316329994,0.01991634144268517,20,1,17
Terra,author_routed_joint,author,entity,0.010926051305198303,-0.001369969040247665,0.023188405797101463,20,7,11
Terra,author_routed_joint,author,relation,0.014900632873957598,-0.009410092530461434,0.03933476143810277,18,7,13
Sol,G0,S0,entity,0.6751465542294803,0.6423850404259374,0.7056971193509748,38,0,0
Sol,G0,S0,relation,0.6212778610482369,0.5827206264037844,0.6564059120844211,38,0,0
Sol,Gstar,G0,entity,0.0030305962402449316,-0.008273982936864321,0.013942004019523502,18,8,12
Sol,Gstar,G0,relation,0.02527658650575626,0.002616914816545135,0.04792378005135345,23,2,13
Sol,Gstar,human,entity,0.025438898535010468,0.009995193844979156,0.04212294540707018,27,1,10
Sol,Gstar,human,relation,0.058413251961639046,0.027823590555858035,0.09066903015038685,28,1,9
Sol,Gstar,author,entity,0.025807999864936426,0.01143533380370243,0.04085366691038206,28,1,9
Sol,Gstar,author,relation,0.0389898768699426,0.006601990317340101,0.07204334954469871,24,1,13
Sol,joint,Gstar,entity,0.017704559273421405,0.010068544885219022,0.026159249812726992,21,13,4
Sol,joint,Gstar,relation,0.02346992153443772,0.004751965528909108,0.04350969217060907,19,3,16
Sol,human_joint,human,entity,-0.043716357647841986,-0.062843184754522,-0.024287115256221736,9,4,25
Sol,human_joint,human,relation,-0.06973221856454015,-0.09871415970576303,-0.03951452883245887,6,1,31
Sol,author_full_joint,author_full,entity,0.0007183699532696819,-0.01228668941979516,0.013426233226795481,13,17,8
Sol,author_full_joint,author_full,relation,-0.005403075596878137,-0.024094610420087426,0.012932581780965235,12,11,15
Sol,Gstar,minimal_R,entity,0.0,0.0,0.0,0,38,0
Sol,Gstar,minimal_R,relation,0.054230798364446664,0.03257323906291454,0.07725552360842503,29,2,7
