model,condition,kind,tp,fp,fn,precision,recall,f1
DeepSeek,S0,entity,199,441,1387,0.3109375,0.12547288776796975,0.17879604672057503
DeepSeek,S0,relation,22,250,1145,0.08088235294117647,0.018851756640959727,0.030576789437109106
DeepSeek,G0,entity,1277,212,309,0.857622565480188,0.805170239596469,0.8305691056910569
DeepSeek,G0,relation,639,303,528,0.678343949044586,0.5475578406169666,0.6059743954480796
DeepSeek,Gstar,entity,1361,293,225,0.8228536880290206,0.8581336696090794,0.8401234567901235
DeepSeek,Gstar,relation,675,359,492,0.6528046421663443,0.5784061696658098,0.6133575647432985
DeepSeek,joint,entity,1384,249,202,0.8475199020208206,0.8726355611601513,0.8598943771357564
DeepSeek,joint,relation,745,390,422,0.6563876651982379,0.6383890317052271,0.6472632493483927
DeepSeek,human,entity,1212,266,374,0.8200270635994588,0.7641866330390921,0.7911227154046998
DeepSeek,human,relation,621,423,546,0.5948275862068966,0.532133676092545,0.5617367706919946
DeepSeek,minimal_R,entity,1361,293,225,0.8228536880290206,0.8581336696090794,0.8401234567901235
DeepSeek,minimal_R,relation,630,406,537,0.6081081081081081,0.5398457583547558,0.571947344530186
DeepSeek,author,entity,1316,193,270,0.8721007289595759,0.8297604035308953,0.8504038772213247
DeepSeek,author,relation,731,360,436,0.6700274977085243,0.6263924592973437,0.6474756421612046
DeepSeek,author_routed_joint,entity,1317,236,269,0.8480360592401803,0.830390920554855,0.8391207390888819
DeepSeek,author_routed_joint,relation,725,414,442,0.636523266022827,0.6212510711225364,0.6287944492627926
DeepSeek,author_full,entity,1290,200,296,0.8657718120805369,0.8133669609079445,0.8387516254876463
DeepSeek,author_full,relation,685,398,482,0.6325023084025854,0.586975149957155,0.6088888888888889
DeepSeek,author_full_joint,entity,1314,217,272,0.8582625734813847,0.8284993694829761,0.8431183830606351
DeepSeek,author_full_joint,relation,727,388,440,0.6520179372197309,0.6229648671808055,0.6371603856266432
DeepSeek,human_joint,entity,1244,221,342,0.8491467576791809,0.7843631778058008,0.8154703375942315
DeepSeek,human_joint,relation,626,384,541,0.6198019801980198,0.5364181662382177,0.5751033532384014
Terra,S0,entity,230,507,1356,0.3120759837177748,0.1450189155107188,0.19801980198019803
Terra,S0,relation,26,307,1141,0.07807807807807808,0.022279348757497857,0.034666666666666665
Terra,G0,entity,1312,242,274,0.8442728442728443,0.8272383354350568,0.8356687898089171
