model,condition,eligible,coverage,conditional_f1,unavailable,missing_given_endpoints
DeepSeek,S0,23,0.01970865467009426,0.8800000000000001,1144,1
DeepSeek,G0,812,0.6958011996572407,0.8124602670057216,355,173
DeepSeek,Gstar,917,0.7857754927163667,0.7894736842105262,250,242
DeepSeek,joint,935,0.8011996572407883,0.8137629710540688,232,190
DeepSeek,human,748,0.6409597257926307,0.8257978723404256,419,127
DeepSeek,minimal_R,917,0.7857754927163667,0.735981308411215,250,287
DeepSeek,author,841,0.7206512425021423,0.85,326,110
DeepSeek,author_routed_joint,848,0.726649528706084,0.846468184471687,319,123
DeepSeek,author_full,818,0.700942587832048,0.8208508088675853,349,133
DeepSeek,author_full_joint,848,0.726649528706084,0.8438769587928033,319,121
DeepSeek,human_joint,780,0.6683804627249358,0.8204456094364351,387,154
Terra,S0,31,0.026563838903170524,0.8253968253968254,1136,5
Terra,G0,858,0.7352185089974294,0.759141033081834,309,204
Terra,Gstar,919,0.7874892887746359,0.7625979843225084,248,238
Terra,joint,926,0.7934875749785776,0.7867935086737549,241,223
Terra,human,834,0.7146529562982005,0.8225519287833828,333,141
Terra,minimal_R,919,0.7874892887746359,0.7649667405764967,248,229
Terra,author,823,0.7052270779777207,0.8310610551274451,344,122
Terra,author_routed_joint,864,0.7403598971722365,0.8199886428165816,303,142
Terra,author_full,849,0.7275064267352185,0.8272674754477182,318,133
Terra,author_full_joint,837,0.7172236503856041,0.8273045507584598,330,128
Terra,human_joint,814,0.6975149957155099,0.8287292817679557,353,139
Sol,S0,37,0.031705227077977724,0.8974358974358975,1130,2
Sol,G0,954,0.8174807197943444,0.8210302708443972,213,181
Sol,Gstar,930,0.7969151670951157,0.8540656973613355,237,137
Sol,joint,977,0.8371893744644388,0.8558187435633368,190,146
Sol,human,863,0.739502999143102,0.8368876080691642,304,137
Sol,minimal_R,930,0.7969151670951157,0.7923728813559322,237,182
Sol,author,870,0.7455012853470437,0.8521836506159014,297,109
Sol,author_full,876,0.7506426735218509,0.8495575221238938,291,108
Sol,author_full_joint,875,0.7497857754927164,0.8454293628808864,292,112
Sol,human_joint,784,0.6718080548414739,0.8197130380536494,383,127
