model,condition,kind,label,tp,fp,fn,precision,recall,f1
DeepSeek,S0,entity,ANAT,87,145,600,0.375,0.12663755458515283,0.1893362350380849
DeepSeek,S0,entity,OBS-DP,56,151,541,0.27053140096618356,0.09380234505862646,0.13930348258706468
DeepSeek,S0,entity,OBS-DA,37,95,168,0.2803030303030303,0.18048780487804877,0.21958456973293766
DeepSeek,S0,entity,OBS-U,19,50,78,0.2753623188405797,0.1958762886597938,0.22891566265060243
DeepSeek,S0,relation,Modify,1,19,730,0.05,0.0013679890560875513,0.0026631158455392807
DeepSeek,S0,relation,LocatedAt,17,165,355,0.09340659340659341,0.0456989247311828,0.06137184115523465
DeepSeek,S0,relation,SuggestiveOf,4,66,60,0.05714285714285714,0.0625,0.05970149253731344
DeepSeek,G0,entity,ANAT,600,73,87,0.8915304606240714,0.8733624454148472,0.8823529411764706
DeepSeek,G0,entity,OBS-DP,414,69,183,0.8571428571428571,0.6934673366834171,0.7666666666666666
DeepSeek,G0,entity,OBS-DA,191,25,14,0.8842592592592593,0.9317073170731708,0.9073634204275535
DeepSeek,G0,entity,OBS-U,72,45,25,0.6153846153846154,0.7422680412371134,0.6728971962616823
DeepSeek,G0,relation,Modify,408,186,323,0.6868686868686869,0.5581395348837209,0.6158490566037735
DeepSeek,G0,relation,LocatedAt,196,86,176,0.6950354609929078,0.5268817204301075,0.599388379204893
DeepSeek,G0,relation,SuggestiveOf,35,31,29,0.5303030303030303,0.546875,0.5384615384615384
DeepSeek,Gstar,entity,ANAT,639,60,48,0.9141630901287554,0.9301310043668122,0.9220779220779222
DeepSeek,Gstar,entity,OBS-DP,472,149,125,0.7600644122383253,0.7906197654941374,0.7750410509031199
DeepSeek,Gstar,entity,OBS-DA,194,27,11,0.8778280542986425,0.9463414634146341,0.9107981220657276
DeepSeek,Gstar,entity,OBS-U,56,57,41,0.49557522123893805,0.5773195876288659,0.5333333333333332
DeepSeek,Gstar,relation,Modify,440,180,291,0.7096774193548387,0.6019151846785226,0.6513693560325685
DeepSeek,Gstar,relation,LocatedAt,215,129,157,0.625,0.5779569892473119,0.6005586592178771
DeepSeek,Gstar,relation,SuggestiveOf,20,50,44,0.2857142857142857,0.3125,0.29850746268656714
DeepSeek,joint,entity,ANAT,643,61,44,0.9133522727272727,0.9359534206695779,0.9245147375988498
DeepSeek,joint,entity,OBS-DP,480,107,117,0.817717206132879,0.8040201005025126,0.8108108108108107
DeepSeek,joint,entity,OBS-DA,198,27,7,0.88,0.9658536585365853,0.9209302325581395
DeepSeek,joint,entity,OBS-U,63,54,34,0.5384615384615384,0.6494845360824743,0.5887850467289719
DeepSeek,joint,relation,Modify,479,198,252,0.707533234859675,0.655266757865937,0.6803977272727272
DeepSeek,joint,relation,LocatedAt,238,143,134,0.6246719160104987,0.6397849462365591,0.6321381142098274
