model,first,second,kind,masked,reference_remaining,first_f1,second_f1,delta,low,high
DeepSeek,Gstar,G0,entity,within normal limits entities and incident relations,1535,0.8363057324840765,0.8416138712904302,-0.005308138806353724,-0.035554671285676465,0.03055805868365824
DeepSeek,Gstar,G0,relation,within normal limits entities and incident relations,1103,0.6174368747022392,0.6273932253313697,-0.009956350629130473,-0.045855388233773664,0.029820581854670625
DeepSeek,Gstar,author,entity,within normal limits entities and incident relations,1535,0.8363057324840765,0.8688470432771721,-0.032541310793095635,-0.05556757702996107,-0.009355779539231834
DeepSeek,Gstar,author,relation,within normal limits entities and incident relations,1103,0.6174368747022392,0.6737425011536686,-0.05630562645142945,-0.09970272476626163,-0.010957931964961642
DeepSeek,joint,Gstar,entity,within normal limits entities and incident relations,1535,0.8559512351620148,0.8363057324840765,0.019645502677938298,-0.00011014259624020362,0.042779173857554365
DeepSeek,joint,Gstar,relation,within normal limits entities and incident relations,1103,0.6471930625285258,0.6174368747022392,0.02975618782628664,0.005034766397094437,0.05545112781954886
Terra,Gstar,G0,entity,within normal limits entities and incident relations,1535,0.8738828202581926,0.8489583333333334,0.024924486924859268,0.009961140318841877,0.04084351898857508
Terra,Gstar,G0,relation,within normal limits entities and incident relations,1103,0.6217858812529219,0.5906829488919041,0.0311029323610178,0.004460557091660267,0.05803919056871387
Terra,Gstar,author,entity,within normal limits entities and incident relations,1535,0.8738828202581926,0.8459799806264127,0.027902839631779974,0.0030244473324306798,0.054539989675678524
Terra,Gstar,author,relation,within normal limits entities and incident relations,1103,0.6217858812529219,0.6295464750785811,-0.00776059382565919,-0.0540988385032789,0.04028850460916933
Terra,joint,Gstar,entity,within normal limits entities and incident relations,1535,0.8762343647136274,0.8738828202581926,0.0023515444554347287,-0.011966696053101411,0.01679497687766085
Terra,joint,Gstar,relation,within normal limits entities and incident relations,1103,0.6384364820846905,0.6217858812529219,0.016650600831768614,-0.006480046407235096,0.03966894201046112
Sol,Gstar,G0,entity,within normal limits entities and incident relations,1535,0.8782239634345413,0.8755253798900744,0.002698583544466948,-0.005762518854966925,0.011821690063016699
Sol,Gstar,G0,relation,within normal limits entities and incident relations,1103,0.6951331496786042,0.6891587944219523,0.005974355256651909,-0.015655917451467105,0.025940508669306084
Sol,Gstar,author,entity,within normal limits entities and incident relations,1535,0.8782239634345413,0.8687196110210696,0.009504352413471695,-0.0027701031549737243,0.022538007778567737
Sol,Gstar,author,relation,within normal limits entities and incident relations,1103,0.6951331496786042,0.6788581623550402,0.016274987323564027,-0.01822419099464523,0.05199884740263727
Sol,joint,Gstar,entity,within normal limits entities and incident relations,1535,0.8906199285946121,0.8782239634345413,0.012395965160070799,0.006360278424251908,0.018746269230668355
Sol,joint,Gstar,relation,within normal limits entities and incident relations,1103,0.7118181818181818,0.6951331496786042,0.016685032139577616,-0.001127460733512664,0.035344798997850924
