left,right,metric,tp,fp,fn,precision,recall,f1,ci95_lower,ci95_upper,bootstrap_replicates,bootstrap_seed
Reference,Checkpoint,entity_exact,1328,173,258,0.8847435043304464,0.8373266078184111,0.8603822481373502,0.8389931787014706,0.8814118893904318,10000,20261827
Reference,Checkpoint,entity_overlap,1346,155,240,0.8967355096602265,0.8486759142496847,0.8720440557175251,0.8505004843396836,0.8930465833330978,10000,20261828
Reference,Checkpoint,relation_exact,658,395,509,0.6248812915479582,0.5638389031705227,0.5927927927927927,0.5582167464277229,0.6284716715692544,10000,20261829
Reference,Checkpoint,relation_overlap,663,390,504,0.6296296296296297,0.5681233933161953,0.5972972972972974,0.5627323421523189,0.6339211606374778,10000,20261830
Reference,DeepSeek,entity_exact,1361,293,225,0.8228536880290206,0.8581336696090794,0.8401234567901235,0.8114776334610556,0.8656718815945976,10000,20261837
Reference,DeepSeek,entity_overlap,1381,273,205,0.8349455864570737,0.8707440100882724,0.8524691358024692,0.8281737797691258,0.8750387645212956,10000,20261838
Reference,DeepSeek,relation_exact,675,359,492,0.6528046421663443,0.5784061696658098,0.6133575647432985,0.5786040689588252,0.6515640540651868,10000,20261839
Reference,DeepSeek,relation_overlap,688,346,479,0.6653771760154739,0.5895458440445587,0.6251703771013176,0.5929510667504999,0.6608065696095462,10000,20261840
Reference,Terra,entity_exact,1370,167,216,0.8913467794404685,0.8638083228247163,0.8773615113672751,0.8550583249183105,0.897674458937315,10000,20261847
Reference,Terra,entity_overlap,1402,135,184,0.9121665582303188,0.8839848675914249,0.8978546269612551,0.8828215974365988,0.9134886463895572,10000,20261848
Reference,Terra,relation_exact,681,388,486,0.637043966323667,0.583547557840617,0.60912343470483,0.5637978225249288,0.652546470159509,10000,20261849
Reference,Terra,relation_overlap,699,370,468,0.6538821328344246,0.5989717223650386,0.6252236135957067,0.5856396283373939,0.6633259680058453,10000,20261850
Reference,Sol,entity_exact,1382,188,204,0.8802547770700637,0.8713745271122321,0.8757921419518379,0.8580231186600613,0.8933858144821049,10000,20260937
Reference,Sol,entity_overlap,1400,170,186,0.89171974522293,0.8827238335435057,0.8871989860583017,0.8689739888492972,0.9043487528464756,10000,20260938
Reference,Sol,relation_exact,793,334,374,0.7036379769299024,0.6795201371036846,0.6913687881429817,0.6567700870558014,0.7263727120100507,10000,20260939
Reference,Sol,relation_overlap,806,321,361,0.7151730257320319,0.6906598114824336,0.7027027027027026,0.6689746204748276,0.7350720438488529,10000,20260940
Checkpoint,DeepSeek,entity_exact,1350,304,151,0.8162031438935913,0.899400399733511,0.8557844690966719,0.8274330667984368,0.8803004675521942,10000,20261857
Checkpoint,DeepSeek,entity_overlap,1370,284,131,0.8282950423216445,0.9127248500999334,0.8684627575277337,0.8434419304997558,0.8900310676856471,10000,20261858
Checkpoint,DeepSeek,relation_exact,601,433,452,0.5812379110251451,0.5707502374169041,0.5759463344513658,0.5337392186707255,0.6190729849248912,10000,20261859
Checkpoint,DeepSeek,relation_overlap,603,431,450,0.5831721470019342,0.5726495726495726,0.5778629611883086,0.5360803194774972,0.6197189535751989,10000,20261860
Checkpoint,Terra,entity_exact,1350,187,151,0.878334417696812,0.899400399733511,0.8887425938117182,0.8669858013187767,0.9098772826774157,10000,20261867
Checkpoint,Terra,entity_overlap,1369,168,132,0.8906961613532857,0.9120586275816123,0.9012508229098091,0.8844256518675123,0.9174543589533702,10000,20261868
Checkpoint,Terra,relation_exact,575,494,478,0.5378858746492049,0.5460588793922128,0.5419415645617344,0.49271006775996534,0.5882846130649477,10000,20261869
Checkpoint,Terra,relation_overlap,583,486,470,0.5453695042095417,0.553656220322887,0.5494816211121584,0.5006997957992696,0.5948240751970892,10000,20261870
Checkpoint,Sol,entity_exact,1361,209,140,0.8668789808917198,0.9067288474350433,0.886356235753826,0.8666666666666667,0.9047463279401896,10000,20260967
Checkpoint,Sol,entity_overlap,1373,197,128,0.8745222929936306,0.9147235176548968,0.8941712797134485,0.8783265819364229,0.9099249690605006,10000,20260968
Checkpoint,Sol,relation_exact,681,446,372,0.6042590949423248,0.6467236467236467,0.6247706422018349,0.5827812861821994,0.664440158542341,10000,20260969
Checkpoint,Sol,relation_overlap,681,446,372,0.6042590949423248,0.6467236467236467,0.6247706422018349,0.5833322522055008,0.6644297522583366,10000,20260970
DeepSeek,Terra,entity_exact,1412,125,242,0.9186727391021471,0.8536880290205562,0.8849890316515199,0.8589462869502524,0.9080164318606397,10000,20261877
DeepSeek,Terra,entity_overlap,1440,97,214,0.936890045543266,0.8706166868198307,0.9025383892196802,0.8813879979640346,0.9218479002624672,10000,20261878
DeepSeek,Terra,relation_exact,674,395,360,0.6304957904583723,0.6518375241779497,0.6409890632429862,0.5953239996621688,0.6840329598325611,10000,20261879
DeepSeek,Terra,relation_overlap,690,379,344,0.6454630495790459,0.6673114119922631,0.6562054208273895,0.6139571827129853,0.6965418983153333,10000,20261880
DeepSeek,Sol,entity_exact,1452,118,202,0.9248407643312102,0.8778718258766627,0.9007444168734492,0.8720220579117381,0.9253906873292557,10000,20260987
DeepSeek,Sol,entity_overlap,1469,101,185,0.9356687898089172,0.8881499395405078,0.9112903225806451,0.8861122040729609,0.9334130721613466,10000,20260988
DeepSeek,Sol,relation_exact,756,371,278,0.6708074534161491,0.7311411992263056,0.6996760758907913,0.6501375274948215,0.749387306883289,10000,20260989
DeepSeek,Sol,relation_overlap,762,365,272,0.676131322094055,0.7369439071566731,0.7052290606200833,0.6548362571412083,0.7553733226129379,10000,20260990
Terra,Sol,entity_exact,1439,131,98,0.9165605095541401,0.9362394274560832,0.9262954618603155,0.9051330999118461,0.9445577046938775,10000,20260997
Terra,Sol,entity_overlap,1468,102,69,0.935031847133758,0.9551073519843851,0.944962986803991,0.9310015556231305,0.9577106716022431,10000,20260998
Terra,Sol,relation_exact,759,368,310,0.673469387755102,0.7100093545369505,0.6912568306010929,0.6406246276215444,0.7388844567623027,10000,20260999
Terra,Sol,relation_overlap,770,357,299,0.6832298136645962,0.7202993451824135,0.7012750455373407,0.6510630961115188,0.749015606868229,10000,20261000
