model,a,b,target,difference,ci95_lower,ci95_upper,report_wins_a,report_ties,report_wins_b
DeepSeek,joint,Gstar,entity,0.019770920345632992,0.00023380965195807235,0.04248571648520105,17,4,17
DeepSeek,joint,Gstar,relation,0.033905684605094244,0.009720077726584453,0.05865915870423599,23,4,11
DeepSeek,author_routed_joint,author,entity,-0.01128313813244286,-0.022161716894938177,-0.0008420537542029871,10,8,20
DeepSeek,author_routed_joint,author,relation,-0.018681192898411858,-0.052876149295944974,0.013083531202568999,14,3,21
DeepSeek,joint,author_routed_joint,entity,0.0207736380468746,-0.007403896481917971,0.04875026011666095,23,1,14
DeepSeek,joint,author_routed_joint,relation,0.018468800085600034,-0.022870620363801608,0.061705260139159,19,2,17
Terra,joint,Gstar,entity,0.002256323027629459,-0.011189746536888978,0.01614728497395057,12,9,17
Terra,joint,Gstar,relation,0.019959339344386873,-0.0019260166964956138,0.042674032291164066,19,5,14
Terra,author_routed_joint,author,entity,0.010926051305198303,-0.001650267136992789,0.02313922190267259,20,7,11
Terra,author_routed_joint,author,relation,0.014900632873957598,-0.009722058881179163,0.039221973627532325,18,7,13
Terra,joint,author_routed_joint,entity,0.040887675664745715,0.020869685028521046,0.06044230668688244,32,0,6
Terra,joint,author_routed_joint,relation,0.009871796347673212,-0.028979946015402658,0.04936606760265172,20,0,18
Sol,joint,Gstar,entity,0.017704559273421405,0.010014115470946439,0.026312851534910586,21,13,4
Sol,joint,Gstar,relation,0.02346992153443772,0.005123557467026418,0.043234817272937764,19,3,16
Sol,author_routed_joint,author,entity,0.0016205608047414888,-0.0072292391909205556,0.010342175826831834,14,9,15
Sol,author_routed_joint,author,relation,0.01115652852200788,-0.005485166270320918,0.029402528904223235,14,7,17
Sol,joint,author_routed_joint,entity,0.04189199833361634,0.027457797149577967,0.058121739162177444,29,3,6
Sol,joint,author_routed_joint,relation,0.05130326988237244,0.02534198929904452,0.0778505028151264,28,1,9
