contrast,first,second,metric,difference,ci95_lower,ci95_upper,replicates,seed,unit,interval
FS12 - Gstar,FS12_direct_gold,Gstar_refined_guideline_current,entity_exact,-0.007030174369860975,-0.021479929141055225,0.006838458136719817,10000,20260804,report,percentile 95%
FS12 - Gstar,FS12_direct_gold,Gstar_refined_guideline_current,relation_exact,-0.002000753154948298,-0.02820913501676016,0.02351658755129574,10000,20260805,report,percentile 95%
FS4 - Gstar,FS4_direct_gold,Gstar_refined_guideline_current,entity_exact,-0.0023354006526749016,-0.017744799539098896,0.011993211581276357,10000,20260904,report,percentile 95%
FS4 - Gstar,FS4_direct_gold,Gstar_refined_guideline_current,relation_exact,-0.0025953539199097264,-0.030696404443312442,0.02487682703147854,10000,20260905,report,percentile 95%
FS8 - Gstar,FS8_direct_gold,Gstar_refined_guideline_current,entity_exact,-0.002260634207855272,-0.016825870136498486,0.011365719301957967,10000,20261004,report,percentile 95%
FS8 - Gstar,FS8_direct_gold,Gstar_refined_guideline_current,relation_exact,0.011968108634111796,-0.012259921642491772,0.035891547562601364,10000,20261005,report,percentile 95%
FS12 - G0,FS12_direct_gold,G0_annotation_derived_initial_current,entity_exact,-0.013198525981208853,-0.026055448066075095,-0.0008090768395795577,10000,20261104,report,percentile 95%
FS12 - G0,FS12_direct_gold,G0_annotation_derived_initial_current,relation_exact,0.032161972874078515,0.0016581919891888648,0.062290884375576484,10000,20261105,report,percentile 95%
FS4 - G0,FS4_direct_gold,G0_annotation_derived_initial_current,entity_exact,-0.00850375226402278,-0.023230389447907975,0.005552111067582888,10000,20261204,report,percentile 95%
FS4 - G0,FS4_direct_gold,G0_annotation_derived_initial_current,relation_exact,0.03156737210911709,0.004205687929914261,0.060019101584852526,10000,20261205,report,percentile 95%
FS8 - G0,FS8_direct_gold,G0_annotation_derived_initial_current,entity_exact,-0.00842898581920315,-0.02150712849788347,0.003990215534810691,10000,20261304,report,percentile 95%
FS8 - G0,FS8_direct_gold,G0_annotation_derived_initial_current,relation_exact,0.04613083466313861,0.017671526485722646,0.07474726299327482,10000,20261305,report,percentile 95%
FS4 - S0,FS4_direct_gold,S0_schema_only_current,entity_exact,0.6629113450746382,0.6235525398142345,0.6975866083392981,10000,20261404,report,percentile 95%
FS4 - S0,FS4_direct_gold,S0_schema_only_current,relation_exact,0.6441760924160858,0.602013003919215,0.6837210035855026,10000,20261405,report,percentile 95%
FS8 - S0,FS8_direct_gold,S0_schema_only_current,entity_exact,0.6629861115194579,0.6240641234606596,0.6981303312436835,10000,20261504,report,percentile 95%
FS8 - S0,FS8_direct_gold,S0_schema_only_current,relation_exact,0.6587395549701073,0.6179947648535854,0.6982874911007133,10000,20261505,report,percentile 95%
FS12 - S0,FS12_direct_gold,S0_schema_only_current,entity_exact,0.6582165713574522,0.6198314710024656,0.6939506558709398,10000,20261604,report,percentile 95%
FS12 - S0,FS12_direct_gold,S0_schema_only_current,relation_exact,0.6447706931810472,0.6030635976133819,0.6853201028113439,10000,20261605,report,percentile 95%
FS8 - FS4,FS8_direct_gold,FS4_direct_gold,entity_exact,7.476644481962946e-05,-0.011529509661377432,0.012460836104814169,10000,20261704,report,percentile 95%
FS8 - FS4,FS8_direct_gold,FS4_direct_gold,relation_exact,0.014563462554021522,-0.010162149675570647,0.039774538485473354,10000,20261705,report,percentile 95%
FS12 - FS8,FS12_direct_gold,FS8_direct_gold,entity_exact,-0.004769540162005703,-0.012193712771857448,0.0030900268036100857,10000,20261804,report,percentile 95%
FS12 - FS8,FS12_direct_gold,FS8_direct_gold,relation_exact,-0.013968861789060094,-0.03343606627087659,0.0038883303034118306,10000,20261805,report,percentile 95%
Gstar - S0,Gstar_refined_guideline_current,S0_schema_only_current,entity_exact,0.6652467457273131,0.6310641700455992,0.6972928616238998,10000,20261904,report,percentile 95%
Gstar - S0,Gstar_refined_guideline_current,S0_schema_only_current,relation_exact,0.6467714463359955,0.6033141029901511,0.6876698214044724,10000,20261905,report,percentile 95%
Gstar - G0,Gstar_refined_guideline_current,G0_annotation_derived_initial_current,entity_exact,-0.006168351611347878,-0.015850861012406285,0.002555408064540264,10000,20262004,report,percentile 95%
Gstar - G0,Gstar_refined_guideline_current,G0_annotation_derived_initial_current,relation_exact,0.03416272602902681,0.00710787483375033,0.060542593652236555,10000,20262005,report,percentile 95%
