condition,view,metric,tp,fp,fn,precision,recall,f1
S0_schema_only_current,as_returned,entity_exact,224,549,1362,0.2897800776196636,0.14123581336696092,0.18991097922848665
S0_schema_only_current,as_returned,entity_overlap,709,64,877,0.9172056921086675,0.44703656998738966,0.6011021619330225
S0_schema_only_current,as_returned,relation_exact,39,380,1128,0.09307875894988067,0.033419023136246784,0.04918032786885246
S0_schema_only_current,as_returned,relation_overlap,124,295,1043,0.29594272076372313,0.1062553556126821,0.15636822194199243
S0_schema_only_current,as_returned,relation_matched_endpoint_exact,39,12,1,0.7647058823529411,0.975,0.8571428571428571
S0_schema_only_current,prediction_only_normalized,entity_exact,251,522,1335,0.32470892626131953,0.15825977301387137,0.21280203476049173
S0_schema_only_current,prediction_only_normalized,entity_overlap,709,64,877,0.9172056921086675,0.44703656998738966,0.6011021619330225
S0_schema_only_current,prediction_only_normalized,relation_exact,44,375,1123,0.10501193317422435,0.037703513281919454,0.05548549810844893
S0_schema_only_current,prediction_only_normalized,relation_overlap,124,295,1043,0.29594272076372313,0.1062553556126821,0.15636822194199243
S0_schema_only_current,prediction_only_normalized,relation_matched_endpoint_exact,44,14,2,0.7586206896551724,0.9565217391304348,0.8461538461538461
G0_annotation_derived_initial_current,as_returned,entity_exact,1388,213,198,0.8669581511555278,0.8751576292559899,0.8710385942893003
G0_annotation_derived_initial_current,as_returned,entity_overlap,1423,178,163,0.8888194878201124,0.8972257250945775,0.8930028239723878
G0_annotation_derived_initial_current,as_returned,relation_exact,758,410,409,0.648972602739726,0.6495287060839761,0.6492505353319058
G0_annotation_derived_initial_current,as_returned,relation_overlap,791,377,376,0.6772260273972602,0.6778063410454156,0.6775160599571735
G0_annotation_derived_initial_current,as_returned,relation_matched_endpoint_exact,758,162,182,0.8239130434782609,0.8063829787234043,0.8150537634408602
G0_annotation_derived_initial_current,prediction_only_normalized,entity_exact,1409,192,177,0.8800749531542785,0.8883984867591425,0.8842171320991528
G0_annotation_derived_initial_current,prediction_only_normalized,entity_overlap,1423,178,163,0.8888194878201124,0.8972257250945775,0.8930028239723878
G0_annotation_derived_initial_current,prediction_only_normalized,relation_exact,780,388,387,0.6678082191780822,0.6683804627249358,0.6680942184154176
G0_annotation_derived_initial_current,prediction_only_normalized,relation_overlap,791,377,376,0.6772260273972602,0.6778063410454156,0.6775160599571735
G0_annotation_derived_initial_current,prediction_only_normalized,relation_matched_endpoint_exact,780,172,188,0.819327731092437,0.8057851239669421,0.8125
Gstar_refined_guideline_current,as_returned,entity_exact,1366,205,220,0.8695098663271802,0.8612862547288777,0.8653785239151093
Gstar_refined_guideline_current,as_returned,entity_overlap,1403,168,183,0.8930617441120305,0.8846153846153846,0.8888184985745962
Gstar_refined_guideline_current,as_returned,relation_exact,785,352,382,0.6904133685136323,0.6726649528706083,0.6814236111111112
Gstar_refined_guideline_current,as_returned,relation_overlap,822,315,345,0.7229551451187335,0.7043701799485861,0.7135416666666666
Gstar_refined_guideline_current,as_returned,relation_matched_endpoint_exact,785,124,125,0.8635863586358636,0.8626373626373627,0.863111599780099
Gstar_refined_guideline_current,prediction_only_normalized,entity_exact,1386,185,200,0.8822406110757479,0.8738965952080706,0.8780487804878049
Gstar_refined_guideline_current,prediction_only_normalized,entity_overlap,1403,168,183,0.8930617441120305,0.8846153846153846,0.8888184985745962
Gstar_refined_guideline_current,prediction_only_normalized,relation_exact,809,328,358,0.7115215479331575,0.6932305055698372,0.7022569444444444
Gstar_refined_guideline_current,prediction_only_normalized,relation_overlap,822,315,345,0.7229551451187335,0.7043701799485861,0.7135416666666666
Gstar_refined_guideline_current,prediction_only_normalized,relation_matched_endpoint_exact,809,126,128,0.8652406417112299,0.8633938100320171,0.8643162393162394
FS4_direct_gold,as_returned,entity_exact,1364,204,222,0.8698979591836735,0.8600252206809584,0.8649334178820546
FS4_direct_gold,as_returned,entity_overlap,1394,174,192,0.889030612244898,0.8789407313997478,0.8839568801521877
FS4_direct_gold,as_returned,relation_exact,811,386,356,0.6775271512113618,0.6949443016281063,0.6861252115059222
FS4_direct_gold,as_returned,relation_overlap,837,360,330,0.6992481203007519,0.7172236503856041,0.7081218274111675
FS4_direct_gold,as_returned,relation_matched_endpoint_exact,811,151,108,0.843035343035343,0.8824809575625681,0.8623072833599149
FS4_direct_gold,prediction_only_normalized,entity_exact,1381,187,205,0.8807397959183674,0.8707440100882724,0.87571337983513
FS4_direct_gold,prediction_only_normalized,entity_overlap,1394,174,192,0.889030612244898,0.8789407313997478,0.8839568801521877
FS4_direct_gold,prediction_only_normalized,relation_exact,827,370,340,0.6908939014202172,0.7086546700942588,0.6996615905245347
FS4_direct_gold,prediction_only_normalized,relation_overlap,837,360,330,0.6992481203007519,0.7172236503856041,0.7081218274111675
FS4_direct_gold,prediction_only_normalized,relation_matched_endpoint_exact,827,155,113,0.8421588594704684,0.8797872340425532,0.8605619146722164
FS8_direct_gold,as_returned,entity_exact,1381,205,205,0.8707440100882724,0.8707440100882724,0.8707440100882724
FS8_direct_gold,as_returned,entity_overlap,1403,183,183,0.8846153846153846,0.8846153846153846,0.8846153846153846
FS8_direct_gold,as_returned,relation_exact,825,363,342,0.6944444444444444,0.7069408740359897,0.7006369426751592
FS8_direct_gold,as_returned,relation_overlap,855,333,312,0.7196969696969697,0.7326478149100257,0.7261146496815286
FS8_direct_gold,as_returned,relation_matched_endpoint_exact,825,130,96,0.8638743455497382,0.8957654723127035,0.8795309168443497
FS8_direct_gold,prediction_only_normalized,entity_exact,1389,197,197,0.8757881462799496,0.8757881462799496,0.8757881462799496
FS8_direct_gold,prediction_only_normalized,entity_overlap,1403,183,183,0.8846153846153846,0.8846153846153846,0.8846153846153846
FS8_direct_gold,prediction_only_normalized,relation_exact,841,347,326,0.7079124579124579,0.7206512425021423,0.7142250530785562
FS8_direct_gold,prediction_only_normalized,relation_overlap,855,333,312,0.7196969696969697,0.7326478149100257,0.7261146496815286
FS8_direct_gold,prediction_only_normalized,relation_matched_endpoint_exact,841,132,99,0.8643371017471737,0.8946808510638298,0.8792472556194459
FS12_direct_gold,as_returned,entity_exact,1374,211,212,0.8668769716088328,0.8663303909205549,0.8666035950804163
FS12_direct_gold,as_returned,entity_overlap,1395,190,191,0.8801261829652997,0.8795712484237075,0.879848628192999
FS12_direct_gold,as_returned,relation_exact,811,364,356,0.6902127659574468,0.6949443016281063,0.6925704526046115
FS12_direct_gold,as_returned,relation_overlap,835,340,332,0.7106382978723405,0.715509854327335,0.713065755764304
FS12_direct_gold,as_returned,relation_matched_endpoint_exact,811,130,109,0.8618490967056323,0.8815217391304347,0.8715744223535733
FS12_direct_gold,prediction_only_normalized,entity_exact,1381,204,205,0.8712933753943217,0.8707440100882724,0.8710186061179439
FS12_direct_gold,prediction_only_normalized,entity_overlap,1395,190,191,0.8801261829652997,0.8795712484237075,0.879848628192999
FS12_direct_gold,prediction_only_normalized,relation_exact,820,355,347,0.6978723404255319,0.702656383890317,0.7002561912894961
FS12_direct_gold,prediction_only_normalized,relation_overlap,835,340,332,0.7106382978723405,0.715509854327335,0.713065755764304
FS12_direct_gold,prediction_only_normalized,relation_matched_endpoint_exact,820,131,110,0.8622502628811777,0.8817204301075269,0.8718766613503456
