model,phase,trial,accepted,action,target_rule_id,stratum,f1_before,f1_after,delta_f1,delta_tp,delta_fp,delta_fn,target_before,target_after,eligible_before,eligible_after,improved_reports,worsened_reports,unchanged_reports,tie_break
DeepSeek,entity,1,True,REVISE,R1,ENT_FP|ANAT,0.6959537572254335,0.7573529411764706,0.06139918395103705,8,-57,-8,38,7,185,138,9,3,0,False
DeepSeek,entity,2,False,ADD,,ENT_FP|OBS-DP,0.7573529411764706,0.7258883248730964,-0.03146461630337416,-23,-5,23,29,5,138,141,4,7,1,False
DeepSeek,entity,3,True,REVISE,R1,ENT_FN|ANAT,0.7573529411764706,0.7589498806682577,0.001596939491787186,9,13,-9,18,5,138,145,4,8,0,False
DeepSeek,entity,4,True,REVISE,R1,ENT_FP|ANAT,0.7589498806682577,0.7910271546635183,0.0320772739952605,17,-8,-17,32,32,145,131,6,6,0,False
DeepSeek,entity,5,False,ADD,,ENT_FP|ANAT,0.7910271546635183,0.7875894988066826,-0.003437655856835642,-5,-4,5,32,30,131,135,5,5,2,False
DeepSeek,entity,6,False,REVISE,R2,ENT_FP|OBS-DP,0.7910271546635183,0.7897934386391251,-0.00123371602439315,-10,-14,10,24,8,131,127,7,2,3,False
DeepSeek,entity,7,False,REVISE,R2,ENT_FN|OBS-DP,0.7910271546635183,0.759656652360515,-0.0313705023030032,19,66,-19,15,0,131,180,5,7,0,False
DeepSeek,entity,8,False,ADD,,ENT_BOUNDARY|OBS-DP,0.7910271546635183,0.7013977128335451,-0.08962944182997312,-59,-1,59,11,22,131,169,4,7,1,False
DeepSeek,entity,9,True,REVISE,R4,ENT_LABEL|OBS-DP->OBS-U,0.7910271546635183,0.8028503562945368,0.011823201631018576,3,-8,-3,8,0,131,119,6,6,0,False
DeepSeek,entity,10,False,REVISE,R1,ENT_FP|ANAT,0.8028503562945368,0.7858017135862914,-0.017048642708245465,-17,-8,17,33,11,119,121,5,6,1,False
DeepSeek,entity,11,False,REVISE,R2,ENT_FP|OBS-DP,0.8028503562945368,0.7783018867924528,-0.024548469502084003,-8,14,8,19,24,119,134,5,7,0,False
DeepSeek,entity,12,False,REVISE,R2,ENT_FN|OBS-DP,0.8028503562945368,0.708502024291498,-0.09434833200303883,12,134,-12,12,0,119,237,2,10,0,False
DeepSeek,entity,13,True,ADD,,ENT_BOUNDARY|OBS-DP,0.8028503562945368,0.8323281061519904,0.02947774985745355,7,-20,-7,12,5,119,102,7,3,2,False
DeepSeek,entity,14,False,REVISE,R1,ENT_FP|ANAT,0.8323281061519904,0.830655129789864,-0.0016729763621263771,-9,-11,9,34,30,102,105,7,5,0,False
DeepSeek,entity,15,False,REVISE,R2,ENT_FN|OBS-DP,0.8323281061519904,0.7827027027027027,-0.049625403449287675,17,79,-17,14,0,102,165,5,6,1,False
DeepSeek,entity,16,False,REVISE,R2,ENT_FP|OBS-DP,0.8323281061519904,0.7503136762860728,-0.08201442986591756,-46,14,46,8,7,102,150,3,9,0,False
DeepSeek,entity,17,False,ADD,,ENT_LABEL|OBS-DP->ANAT,0.8323281061519904,0.8130841121495327,-0.019243994002457687,3,24,-3,7,0,102,118,5,6,1,False
DeepSeek,entity,18,True,REVISE,R1,ENT_LABEL|ANAT->OBS-DP,0.8323281061519904,0.8568047337278106,0.024476627575820253,17,-1,-17,6,0,102,94,8,3,1,False
DeepSeek,entity,19,False,REVISE,R1,ENT_FP|ANAT,0.8568047337278106,0.8248175182481752,-0.031987215479635456,-23,0,23,35,29,94,111,5,6,1,False
DeepSeek,entity,20,False,ADD,,ENT_FP|OBS-DP,0.8568047337278106,0.8206388206388207,-0.036165913088989976,-28,-3,28,14,4,94,109,5,5,2,False
DeepSeek,entity,21,False,REVISE,R2,ENT_FN|OBS-DP,0.8568047337278106,0.8406779661016949,-0.016126767626115757,10,30,-10,12,2,94,113,5,7,0,False
DeepSeek,entity,22,True,REVISE,R4,ENT_LABEL|OBS-U->OBS-DP,0.8568047337278106,0.8633615477629988,0.006556814035188152,-5,-13,5,7,0,94,91,6,6,0,False
DeepSeek,entity,23,True,REVISE,R1,ENT_FP|ANAT,0.8633615477629988,0.8728179551122195,0.009456407349220708,-7,-18,7,35,9,91,76,8,4,0,False
DeepSeek,entity,24,False,REVISE,R1,ENT_FN|ANAT,0.8728179551122195,0.848851269649335,-0.023966685462884496,1,24,-1,14,5,76,101,3,9,0,False
DeepSeek,entity,25,False,REVISE,R2,ENT_FN|OBS-DP,0.8728179551122195,0.8578088578088578,-0.01500909730336164,18,38,-18,12,1,76,97,5,7,0,False
DeepSeek,entity,26,True,REVISE,R5,ENT_BOUNDARY|ANAT,0.8728179551122195,0.8813982521847691,0.008580297072549592,3,-4,-3,10,2,76,75,4,8,0,False
DeepSeek,entity,27,False,REVISE,R2,ENT_FN|OBS-DP,0.8813982521847691,0.8805620608899297,-0.0008361912948393613,23,30,-23,20,0,75,83,6,4,2,False
DeepSeek,entity,28,True,REVISE,R2,ENT_FP|OBS-DP,0.8813982521847691,0.8936170212765957,0.01221876909182662,4,-6,-4,12,6,75,65,5,3,4,False
DeepSeek,entity,29,True,REVISE,R2,ENT_FN|OBS-DP,0.8936170212765957,0.8953068592057761,0.0016898379291804266,15,17,-15,19,1,65,64,7,5,0,False
DeepSeek,entity,30,False,REVISE,R2,ENT_FP|OBS-DP,0.8953068592057761,0.8943488943488943,-0.0009579648568818211,-8,-9,8,16,10,64,63,6,4,2,False
DeepSeek,entity,31,True,REVISE,R1,ENT_FP|ANAT,0.8953068592057761,0.8967193195625759,0.0014124603567997607,-3,-5,3,9,4,64,64,5,5,2,False
DeepSeek,entity,32,False,REVISE,R2,ENT_FP|OBS-DP,0.8967193195625759,0.8921568627450981,-0.0045624568174778,-5,-2,5,22,10,64,58,6,3,3,False
DeepSeek,entity,33,False,REVISE,R1,ENT_FN|ANAT,0.8967193195625759,0.8543451652386781,-0.042374154323897795,-20,14,20,10,2,64,90,2,7,3,False
DeepSeek,entity,34,False,ADD,,ENT_LABEL|OBS-DP->ANAT,0.8967193195625759,0.8616504854368932,-0.035068834125682735,-14,15,14,8,0,64,83,5,6,1,False
DeepSeek,entity,35,False,REVISE,R5,ENT_FP|ANAT,0.8967193195625759,0.6553524804177546,-0.24136683914482127,-118,61,118,4,2,64,193,0,12,0,False
DeepSeek,entity,36,False,ADD,,ENT_BOUNDARY|OBS-U,0.8967193195625759,0.888622754491018,-0.00809656507155787,2,10,-2,3,2,64,68,4,6,2,False
DeepSeek,entity,37,True,REVISE,R4,ENT_FP|OBS-U,0.8967193195625759,0.9097472924187726,0.013027972856196723,9,-1,-9,3,1,64,58,6,3,3,False
DeepSeek,entity,38,False,REVISE,R2,ENT_FP|OBS-DP,0.9097472924187726,0.908641975308642,-0.0011053171101306214,-10,-11,10,27,9,58,48,2,6,4,False
DeepSeek,entity,39,False,REVISE,R1,ENT_FN|ANAT,0.9097472924187726,0.9062870699881376,-0.0034602224306350404,4,8,-4,7,0,58,60,4,3,5,False
DeepSeek,entity,40,False,ADD,,ENT_LABEL|OBS-DP->ANAT,0.9097472924187726,0.8506571087216248,-0.0590901836971478,-22,28,22,5,1,58,88,2,9,1,False
DeepSeek,entity,41,False,REVISE,R1,ENT_FP|ANAT,0.9097472924187726,0.8778718258766627,-0.03187546654210993,-15,11,15,4,4,58,79,1,9,2,False
DeepSeek,entity,42,False,REVISE,R3,ENT_LABEL|OBS-DP->OBS-DA,0.9097472924187726,0.8149038461538461,-0.09484344626492647,-39,40,39,3,0,58,111,1,9,2,False
DeepSeek,entity,43,False,REVISE,R1,ENT_BOUNDARY|ANAT,0.9097472924187726,0.8904761904761904,-0.01927110194258219,-4,13,4,2,2,58,71,1,6,5,False
DeepSeek,entity,44,False,ADD,,ENT_BOUNDARY|OBS-U,0.9097472924187726,0.8958837772397095,-0.013863515179063146,-8,3,8,2,6,58,63,1,8,3,False
DeepSeek,entity,45,False,REVISE,R3,ENT_FP|OBS-DA,0.9097472924187726,0.8851269649334945,-0.024620327485278093,-12,8,12,2,2,58,71,3,7,2,False
DeepSeek,entity,46,False,REVISE,R4,ENT_LABEL|OBS-DP->OBS-U,0.9097472924187726,0.8835534213685474,-0.026193871050225193,-10,12,10,2,0,58,71,3,7,2,False
DeepSeek,entity,47,True,ADD,,ENT_BOUNDARY|OBS-DA,0.9097472924187726,0.9101941747572816,0.0004468823385089804,-3,-4,3,1,1,58,54,4,5,3,False
DeepSeek,entity,48,False,REVISE,R2,ENT_FP|OBS-DP,0.9101941747572816,0.8767833981841764,-0.033410776573105205,-37,-16,37,21,3,54,72,2,9,1,False
DeepSeek,entity,49,False,ADD,,ENT_LABEL|OBS-DP->ANAT,0.9101941747572816,0.8804878048780488,-0.029706369879232808,-14,10,14,8,0,54,65,5,6,1,False
DeepSeek,entity,50,False,REVISE,R1,ENT_FN|ANAT,0.9101941747572816,0.895808383233533,-0.014385791523748637,-1,12,1,6,0,54,64,2,6,4,False
DeepSeek,entity,51,False,REVISE,R1,ENT_FP|ANAT,0.9101941747572816,0.8795180722891566,-0.03067610246812502,-10,16,10,4,4,54,75,4,6,2,False
DeepSeek,entity,52,False,REVISE,R3,ENT_LABEL|OBS-DP->OBS-DA,0.9101941747572816,0.8987951807228916,-0.011398994034390042,-2,8,2,3,1,54,65,2,6,4,False
DeepSeek,entity,53,False,REVISE,R1,ENT_BOUNDARY|ANAT,0.9101941747572816,0.8821385176184691,-0.02805565713881253,-12,11,12,2,5,54,72,2,5,5,False
DeepSeek,entity,54,False,ADD,,ENT_BOUNDARY|OBS-U,0.9101941747572816,0.8929001203369434,-0.017294054420338156,-4,11,4,2,2,54,64,1,7,4,False
DeepSeek,entity,55,False,REVISE,R3,ENT_FP|OBS-DA,0.9101941747572816,0.7989756722151088,-0.1112185025421728,-63,20,63,2,1,54,117,2,10,0,False
DeepSeek,entity,56,False,REVISE,EA047,ENT_BOUNDARY|OBS-DA,0.9101941747572816,0.8716707021791767,-0.038523472578104845,-15,17,15,1,15,54,72,3,8,1,False
DeepSeek,entity,57,False,ADD,,ENT_BOUNDARY|OBS-DP,0.9101941747572816,0.896969696969697,-0.013224477787584621,-5,6,5,1,6,54,61,5,6,1,False
DeepSeek,entity,58,False,REVISE,R4,ENT_FN|OBS-U,0.9101941747572816,0.8934131736526946,-0.016781001104587023,-2,13,2,1,0,54,67,3,7,2,False
DeepSeek,entity,59,False,ADD,,ENT_LABEL|ANAT->OBS-DA,0.9101941747572816,0.9002433090024331,-0.009950865754848492,-5,3,5,1,0,54,60,4,6,2,False
DeepSeek,entity,60,False,REVISE,R2,ENT_LABEL|ANAT->OBS-DP,0.9101941747572816,0.9051094890510949,-0.005084685706186698,-3,1,3,1,1,54,56,4,7,1,False
DeepSeek,entity,61,False,REVISE,R4,ENT_LABEL|OBS-DP->OBS-U,0.9101941747572816,0.8905289052890529,-0.019665269468228663,-13,2,13,1,0,54,60,6,3,3,False
DeepSeek,relation,1,True,REVISE,R02,SPURIOUS_EDGE|Modify,0.5185185185185185,0.5423728813559322,0.023854362837413712,-3,-33,3,61,49,186,180,7,4,1,False
DeepSeek,relation,2,True,REVISE,R02,SPURIOUS_EDGE|Modify,0.5423728813559322,0.5759368836291914,0.033564002273259175,2,-26,-2,49,21,180,156,8,4,0,False
DeepSeek,relation,3,True,REVISE,R02,MISSING_EDGE|Modify,0.5759368836291914,0.6122448979591837,0.03630801432999231,19,13,-19,45,21,156,140,5,7,0,False
DeepSeek,relation,4,False,REVISE,R02,SPURIOUS_EDGE|Modify,0.6122448979591837,0.5921787709497207,-0.020066127009462975,-6,4,6,28,28,140,148,4,8,0,False
